Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
 ,Sikkim,East Sikkim,,,27.35333333,88.61666667,Debris material (>2mm to cobble size ) to boulder.,Slide,New Slide,Active
SKM/SS/78A07/2015/284,Sikkim,South Sikkim, ,Sangmo village Road,27.302861,88.373944,,,,Active
SKM/ES/78A12/2015/19,Sikkim, East Sikkim,Sangkhola,NH-31A,27.245139,88.524444,,,,Active
 ,Sikkim,North Sikkim,,,27.55314167,88.62179722,Debris,Slide,From 2012 onwards,Suspended
SKM/NS/78A03/2017/24,Sikkim,West Sikkim, ,SH,27.284528,88.195583,,,,Active
SKM/NS/78A10/2017/221,Sikkim,North Sikkim, ,NH,27.700444,88.566083,,,,Active
SKM/NS/78A15/2017/145,Sikkim, East Sikkim,Thengu,SH,27.378306,88.770083,,,,Active
SKM/ES/78A11/2015/130,Sikkim, East Sikkim, ,Machong-Rongli Road,27.250889,88.715444,,,,Dormant
SKM/SS/78A08/2015/298,Sikkim,South Sikkim, ,Namchi-Jorthang Road,27.18175,88.395778,,,,Active
SKM/SS/78A08/2015/214,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.16375,88.406417,,,,Active
SKM/SS/78A07/2015/191,Sikkim,South Sikkim, ,Ben village Road,27.255389,88.388944,,,,Active
 ,Sikkim,North Sikkim,,,27.55704444,88.57932222,Debris,Slide,From 2019 onwards,Stabilized
SKM/NS/78A10/2017/179,Sikkim,North Sikkim, ,NH,27.535056,88.610194,,,,Suspended
SKM/NS/78A03/2017/62,Sikkim,West Sikkim, ,SH,27.315778,88.178944,,,,Active
SKM/ES/78A12/2015/142,Sikkim, East Sikkim, ,NH-31A,27.180528,88.518611,,,,Active
