Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MZ/MAM/84A10/2015/179,Mizoram,Mamit, ,"Western slope of Reiek Tlang (1485m), SH Reiek - Chungtlang - Rulpuihlim",23.683417,92.601222,,,,Active
MZ/CHA/84E08/2017/46,Mizoram,Champhai, ,2.5 km towards Kankawn,23.059264,93.275647,,,,Active
MZ/CHA/84E01/2017/10,Mizoram,Champhai, , ,23.942722,93.213531,,,,Inactive
MZ/MAM/84A10/2015/152,Mizoram,Mamit, ,0.8 Km South of Lungphun; PMGSY-Kanghmun - W. Lungdar,23.587361,92.601278,,,,Active
MZ/SER/84A15/2016/112,Mizoram,Aizawl, ,"Sailam, PMGSY Sialsuk-Sailam Road",23.353803,92.794306,,,,Active
MZ/LAW/84B15/2018/14,Mizoram,Lawngtlai, ,Multi- Modal Road,22.469,92.876999,,,,Active
MZ/LUN/84A12/2018/9,Mizoram,Lunglei, ,S. Lungdai Village (near VCP's house),23.056612,92.699997,,,,Inactive
MZ/AIZ/83D16/2016/125,Mizoram,Aizawl, ,8 km wast of Tipaimukh,24.193061,92.992877,,,,Active
MZ/SAI/84F03/2020/11,Mizoram,Saiha,South of Siata village slide,5km south of siata village,22.32,93.14,,,,Suspended
MZ/AIZ/83D16/2016/80,Mizoram,Aizawl, ,1km south of Sailutar,24.061004,92.925342,,,,Active
MZ/AIZ/83D16/2016/99,Mizoram,Aizawl, ,NW of darlawn,24.014332,92.924018,,,,Active
MZ/CHA/84E02/2017/0076,Mizoram,Champhai, ,2km E of kawlkulh,23.606539,93.087476,,,,Active
MZ/CHA/84E01/2017/38,Mizoram,Champhai, ,18 km from ngopa,23.883944,93.247528,,,,Suspended
MIZ/AIZ/84A13/2016/16,Mizoram,Aizawl, ,Khawruhlian village(near culvert) on NH150,23.872722,92.874083,,,,Active
MZ/LAW/84B11/2020/52,Mizoram,Lawngtlai,Jognasury village slide,Jognasury village,22.41,92.64,,,,Suspended
MZ/CHA/84E02/2017/0112,Mizoram,Champhai, ,8.5km S of Dulte,23.617227,93.042191,,,,Active
MZ/AIZ/84A11/2016/103,Mizoram,Aizawl, ,"Near 11km Mile Stone, SH-Sialsuk-Samlukhai-Damdia Road",23.470198,92.693264,,,,Active
MZ/LUNG/84B14/2018/23,Mizoram,Lunglei, ,"NH 54 4 km south of S. Tawipui
",22.66,92.855003,,,,Suspended
