sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
 ,27.285778,88.5535,1641.1,50.54,223.11,0.0,,built-up,5719.9,1,East Sikkim,Date of occurrence : 27.08.2021,,,-0.004394,457.2,87.42
SKM/NS/78A04/2017/111,27.171833,88.160861,1348.3,28.04,120.18,0.2118,,grassland,6082.9,1,West Sikkim,,Slide,4400,0.006041,124.7,38.33
SKM/WS/78A07/2015/364,27.260194,88.302417,567.4,39.11,252.55,0.1294,,forest,4418.8,1,West Sikkim,,Slide,300,0.004163,229.5,58.6
SKM/NS/78A03/2017/18,27.269778,88.144278,1480.7,35.63,166.19,0.1882,,forest,4500.9,1,West Sikkim,,Slide,12,-0.001227,205.7,50.86
SKM/SS/78A08/2015/274,27.161444,88.410556,1576.5,31.78,111.91,0.0471,,forest,4208.6,1,South Sikkim,,Slide,2500,-0.000231,229.5,44.53
 ,27.286667,88.553472,1693.6,52.94,230.27,0.0,,forest,5722.7,1,East Sikkim,Slide initiated on 27th August 2021.,,,0.036221,523.2,99.05
SKM/WS/78A07/2015/358,27.275917,88.254278,1102.4,21.41,187.56,0.0,,forest,4656.3,1,West Sikkim,,Slide,10000,-0.008459,513.2,30.32
SKM/NS/78A03/2017/28,27.281028,88.227667,1296.4,28.71,172.17,0.0,,forest,5156.6,1,West Sikkim,,Slide,2,-0.010813,363.5,40.46
SKM/ES/78A11/2015/413,27.380806,88.726,3606.0,37.86,149.96,0.0,,forest,3626.7,1,East Sikkim,,Slide,3750,0.001394,409.3,56.73
SKM/NS/78A10/2017/230,27.61775,88.623639,1753.2,30.3,33.59,0.3059,,bare/sparse vegetation,4697.9,1,North Sikkim,,Slide,15000,0.012804,65.7,43.67
SKM/SS/78A08/2015/395,27.165278,88.348528,1077.8,32.26,289.35,0.0,,forest,4133.1,1,South Sikkim,,Slide,750,-2.5e-05,328.6,44.88
 ,27.170542,88.383581,1548.8,38.16,256.51,0.2,,forest,4399.9,1,South Sikkim,"may have occurred in the month of May, 2021",,,-0.014103,65.7,57.63
SKM/NS/78A03/2017/63,27.316583,88.178917,1545.6,28.56,126.14,0.0,,forest,5039.8,1,West Sikkim,,Slide,500,0.009161,353.9,40.57
SKM/WS/78A08/2015/270,27.158222,88.34325,1349.3,42.17,21.51,0.0,,forest,4071.9,1,West Sikkim,,Slide,800,0.014523,474.8,65.55
 ,27.699203,88.566597,2443.4,37.56,30.41,0.0588,,forest,4272.4,1,North Sikkim,Date not available,,,-0.006894,252.8,54.9
 ,27.234444,88.490833,392.5,41.16,236.06,0.1647,,forest,5381.5,1,East Sikkim,No data,,,-0.003228,146.9,62.55
